brand_name,full_label,strength,reason,source,needs_manual_review
ALLERGODIL 127µG/Dose Spray Nasal Fl,ALLERGODIL 127µG/Dose Spray Nasal Fl 17ml+Pompe Doseuse,17ml,no_priority_inn_or_seed_match,PCT,true
ALLERGUS,ALLERGUS 0.5mg/ml Sirop Fl 150ml,0.5mg,no_priority_inn_or_seed_match,PCT,true
ALLERGUS,ALLERGUS 5mg Comp.Pell. Bt 15,5mg,no_priority_inn_or_seed_match,PCT,true
ALLERGUS,ALLERGUS 5mg Comp.Pell. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
ALLERGUS,ALLERGUS 5mg Comp.Pell. Bt 5,5mg,no_priority_inn_or_seed_match,PCT,true
ALLERGY-STOP,ALLERGY-STOP 5mg Comp.Pell. Bt 15,5mg,no_priority_inn_or_seed_match,PCT,true
ALLERGY-STOP,ALLERGY-STOP 5mg Comp.Pell. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
ALLERGYFAST,ALLERGYFAST 120mg Comp.Pell. Bt 15,120mg,no_priority_inn_or_seed_match,PCT,true
ALLERGYFAST,ALLERGYFAST 180mg Comp.Pell. Bt 15,180mg,no_priority_inn_or_seed_match,PCT,true
ALLERTEC,ALLERTEC 10mg Comp.Séc. Bt 15,10mg,no_priority_inn_or_seed_match,PCT,true
ALLERTEC,ALLERTEC 10mg Comp.Séc. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
ALLERTEC,ALLERTEC 10mg Comp.Séc. Bt 600,10mg,no_priority_inn_or_seed_match,PCT,true
ALLERTEC,ALLERTEC 10mg Comp.Séc. Bt 7,10mg,no_priority_inn_or_seed_match,PCT,true
ALLORIC,ALLORIC 100mg Comp. Bt 30,100mg,no_priority_inn_or_seed_match,PCT,true
ALOPEXY,ALOPEXY 2% Sol.Ext. Fl 120ml + Pipette + Pompe,2%,no_priority_inn_or_seed_match,PCT,true
ALOPEXY,ALOPEXY 5% Sol.Ext. Fl 120ml + Pipette + Pompe,5%,no_priority_inn_or_seed_match,PCT,true
ALPHA-GLUCOFF,ALPHA-GLUCOFF 100mg Comp. Bt 90,100mg,no_priority_inn_or_seed_match,PCT,true
ALPHA-GLUCOFF,ALPHA-GLUCOFF 50mg Comp. Bt 90,50mg,no_priority_inn_or_seed_match,PCT,true
ALPHACOL,ALPHACOL 0.2% Collyre Bt 30 Opht. /0.3ml,0.2%,no_priority_inn_or_seed_match,PCT,true
ALPHACOL FREE,ALPHACOL FREE 0.2% Collyre Fl 5ml,0.2%,no_priority_inn_or_seed_match,PCT,true
ALPHAGAN,ALPHAGAN 0.2% Collyre Fl 5ml,0.2%,no_priority_inn_or_seed_match,PCT,true
ALPRESS LP,ALPRESS LP 2.5mg Comp. LP Bt 30,2.5mg,no_priority_inn_or_seed_match,PCT,true
ALPRESS LP,ALPRESS LP 5mg Comp. LP Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
ALZHECEPT 10,ALZHECEPT 10 10mg Comp.Pell. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
ALZHECEPT 5,ALZHECEPT 5 5mg Comp.Pell. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
ALZOR,ALZOR 2% Collyre Fl 5ml,2%,no_priority_inn_or_seed_match,PCT,true
ALZOR 3M,ALZOR 3M 2% Collyre Fl 5ml,2%,no_priority_inn_or_seed_match,PCT,true
AMANTEX,AMANTEX 100mg Gél. Bt 50,100mg,no_priority_inn_or_seed_match,PCT,true
AMAREL,AMAREL 1mg Comp. Bt 30,1mg,no_priority_inn_or_seed_match,PCT,true
AMAREL,AMAREL 2mg Comp. Bt 30,2mg,no_priority_inn_or_seed_match,PCT,true
AMAREL,AMAREL 3mg Comp. Bt 30,3mg,no_priority_inn_or_seed_match,PCT,true
AMAREL,AMAREL 4mg Comp. Bt 30,4mg,no_priority_inn_or_seed_match,PCT,true
AMAREL,AMAREL 6mg Comp. Bt 30,6mg,no_priority_inn_or_seed_match,PCT,true
AMARYL M,AMARYL M 2mg/500mg Comp.Pell. Bt 30,2mg/500mg,no_priority_inn_or_seed_match,PCT,true
AMBROGAM,AMBROGAM 0.3% 0.3% Sol.Buv. Fl 150ml,0.3%,no_priority_inn_or_seed_match,PCT,true
AMBROGAM,AMBROGAM 0.6% Sol.Buv. Fl 150ml,0.6%,no_priority_inn_or_seed_match,PCT,true
AMIOCARD,AMIOCARD 200mg Comp.Séc. Bt 30,200mg,no_priority_inn_or_seed_match,PCT,true
AMIPRIDE 200,AMIPRIDE 200 200mg Comp.Séc. Bt 30,200mg,no_priority_inn_or_seed_match,PCT,true
AMIPRIDE 400,AMIPRIDE 400 400mg Comp.Pell.Séc. Bt 30,400mg,no_priority_inn_or_seed_match,PCT,true
AMLODEP,AMLODEP 5mg Comp. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
AMLODEP,AMLODEP 5mg Comp. Bt 60,5mg,no_priority_inn_or_seed_match,PCT,true
AMLODIS,AMLODIS 10mg Comp. Bt 30,10mg,no_priority_inn_or_seed_match,PCT,true
AMLODIS,AMLODIS 10mg Comp. Bt 90,10mg,no_priority_inn_or_seed_match,PCT,true
AMLODIS,AMLODIS 5mg Comp. Bt 30,5mg,no_priority_inn_or_seed_match,PCT,true
AMLODIS,AMLODIS 5mg Comp. Bt 60,5mg,no_priority_inn_or_seed_match,PCT,true
AMLODIS,AMLODIS 5mg Comp. Bt 90,5mg,no_priority_inn_or_seed_match,PCT,true
