"row_number","medicine_label","medicine_value","brand_guess","strength_guess","source_url","scraped_at_utc"
"55","ACTRAPID 100UI/ml Sol.Inj. Fl 10ml (F)","ACTRAPID 100UI/ml Sol.Inj. Fl 10ml (F)","ACTRAPID","100UI","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"56","ACTRAPID PENFILL 100UI/ml Susp.Inj. Bt 5Fl/3ml (F)","ACTRAPID PENFILL 100UI/ml Susp.Inj. Bt 5Fl/3ml (F)","ACTRAPID PENFILL","100UI","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"57","ACUILIX 20mg Comp.Séc. Bt 28","ACUILIX 20mg Comp.Séc. Bt 28","ACUILIX","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"58","ACUITEL 20mg Comp.Enr.Séc. Bt 28","ACUITEL 20mg Comp.Enr.Séc. Bt 28","ACUITEL","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"59","ACUITEL 5 5mg Comp.Enr.Séc. Bt 28","ACUITEL 5 5mg Comp.Enr.Séc. Bt 28","ACUITEL 5","5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"60","ACUPAN 20mg Sol.Inj. Bt 5/2ml","ACUPAN 20mg Sol.Inj. Bt 5/2ml","ACUPAN","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"61","ADALATE RETARD 20mg Comp. LP Bt 20","ADALATE RETARD 20mg Comp. LP Bt 20","ADALATE RETARD","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"62","ADALATE RETARD 20mg Comp. LP Bt 750","ADALATE RETARD 20mg Comp. LP Bt 750","ADALATE RETARD","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"63","ADENAFIL 50mg Comp.Pell.Séc. Bt 1","ADENAFIL 50mg Comp.Pell.Séc. Bt 1","ADENAFIL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"64","ADENAFIL 50mg Comp.Pell.Séc. Bt 2","ADENAFIL 50mg Comp.Pell.Séc. Bt 2","ADENAFIL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"65","ADENAFIL 50mg Comp.Pell.Séc. Bt 4","ADENAFIL 50mg Comp.Pell.Séc. Bt 4","ADENAFIL","50mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"66","ADEX 2.5mg Comp. Bt 30","ADEX 2.5mg Comp. Bt 30","ADEX","2.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"67","ADEX LP 1.5mg Comp. à Libération Prolongée Bt 30","ADEX LP 1.5mg Comp. à Libération Prolongée Bt 30","ADEX LP","1.5mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"68","ADOFEN 20mg/ml Susp. Buv. Fl 120ml","ADOFEN 20mg/ml Susp. Buv. Fl 120ml","ADOFEN","20mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"69","ADOL 1000mg Comp.Séc. Bt 8","ADOL 1000mg Comp.Séc. Bt 8","ADOL","1000mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"70","ADOL 100mg/ml Gouttes Buv. Fl 15ml","ADOL 100mg/ml Gouttes Buv. Fl 15ml","ADOL","100mg","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
