brand_name,inn_raw,full_text,strength
AMOXICILLINE/ACIDE,,AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES 1gr/200mg Pdre.P.Prép.Inj. Bt 25Fl SS,1g
AMOXICILLINE/ACIDE,,AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA ADULTES 2gr/200mg Pdre.P.Prép.Inj. Bt 10Fl SS,2g
AMOXIL,,AMOXIL 0.5gr Pdre.P.Prép.Inj Bt 1Fl+Solv./5ml,5g
AMOXIL,,AMOXIL 1gr Pdre.Prép.Inj Bt 1+S/5ml,1g
AMPICIL,,AMPICIL 0.5gr Pdre.P.Prép.Inj Bt 1+S/5ml,5g
AMPICIL,,AMPICIL 1g Pdre.Prép.Inj. Bt 25 Sans Solv.,1g
AMPICIL,,AMPICIL 1gr Pdre.Prép.Inj. Bt 1+S/5ml,1g
AMUCHINA,,AMUCHINA 5% Sol.Ext. Fl 1000ml,1000ml
AMUCHINA,,AMUCHINA 5% Sol.Ext. Fl 250ml,250ml
AMUCHINA,,AMUCHINA 5% Sol.Ext. Fl 500ml,500ml
AMURETIC,,AMURETIC Comp. Bt 20,N/A
AMUSTIL,,AMUSTIL 0.5% Crème Derm. Tb 70gr,70g
AMUSTIL,,AMUSTIL Crème Derm. Tb 30gr,30g
AMVISC,F,AMVISC PLUS 16mg/ml Préparation Viscoélastique Bt 1 Ser./0.8ml (F),16mg
AMYTRIL,,AMYTRIL 10mg Comp.Pell. Bt 100,10mg
AMYTRIL,,AMYTRIL 10mg Comp.Pell. Bt 40,10mg
AMYTRIL,,AMYTRIL 10mg Comp.Pell. Bt 500,10mg
AMYTRIL,,AMYTRIL 25mg Comp.Pell. Bt 100,25mg
AMYTRIL,,AMYTRIL 25mg Comp.Pell. Bt 40,25mg
AMYTRIL,,AMYTRIL 25mg Comp.Pell. Bt 500,25mg
ANAERYL,,ANAERYL 250mg Comp.Pell. Bt 20,250mg
ANAFRANIL,,ANAFRANIL 10mg Comp.Enr. Bt 60,10mg
ANAFRANIL,,ANAFRANIL 25mg Comp.Enr. Bt 50,25mg
ANAFRANIL,,ANAFRANIL 25mg Sol.Inj. Bt 5/2ml,25mg
ANAFRANIL,,ANAFRANIL 75mg Comp.Pell.Séc. Bt 20,75mg
ANALGAN,,ANALGAN 170mg Suppo. Bt 10,170mg
ANALGAN,,ANALGAN 500mg Comp. Bt 20,500mg
ANALGAN,,ANALGAN 500mg Comp. Bt 500,500mg
ANALGAN,,ANALGAN 80mg Suppo. Bt 10,80mg
ANALGAN,,ANALGAN CODEINE 300mg/25mg Comp. Bt 16,300mg
ANALGAN,,ANALGAN CODEINE 600mg/50mg Comp. Bt 12,600mg
ANALGAN,,ANALGAN CODEINE 600mg/50mg Comp. Bt 300,600mg
ANALGAN,,ANALGAN EXTRA 500mg/65mg Comp.Séc. Bt 16,500mg
ANAPEN,,ANAPEN 0.15mg/0.3ml Sol.Inj. Bt 2 Stylos Auto-injecteurs,15mg
ANAPEN,,ANAPEN 0.30mg/0.3ml Sol.Inj. Bt 2Stylos Auto-injecteurs,30mg
ANASPASM-ORO,,ANASPASM-ORO 80mg Comp.Orodisper. Bt 10,80mg
ANASPASM-ORO,,ANASPASM-ORO 80mg Comp.Orodisper. Bt 20,80mg
ANASTRA,,ANASTRA 1mg Comp.Pell. Bt 30,1mg
ANASTRAZOLE,,ANASTRAZOLE NEAPOLIS 1mg Comp.Pell. Bt 30,1mg
ANASTRODEX,,ANASTRODEX 1mg Comp.Pell. Bt 30,1mg
ANDROCUR,,ANDROCUR 50mg Comp.Séc. Bt 20,50mg
ANDROTARDYL,,ANDROTARDYL 250mg Sol. Inj. Bt 1/1ml,250mg
ANGIOTEC,,ANGIOTEC 20mg Comp.Séc. Bt 30,20mg
ANGIOTEC,,ANGIOTEC 5mg Comp.Séc. Bt 30,5mg
ANGIOZIDE,,ANGIOZIDE 20mg/12.5mg Comp.Séc. Bt 30,20mg
ANGORAL,,ANGORAL 2mg Comp.Séc. Bt 30,2mg
ANGORAL,,ANGORAL 4mg Comp.Séc. Bt 30,4mg
ANSEMID,,ANSEMID 40mg Comp.Séc. Bt 30,40mg
ANSEMID,,ANSEMID 40mg Comp.Séc. Bt 40,40mg
ANSEMID,,ANSEMID 40mg Comp.Séc. Bt 500,40mg
ANSEMID,,ANSEMID 500mg Comp.Séc. Bt 36,500mg
ANTACID,,ANTACID Susp.Buv. Fl 180ml,180ml
ANTADINE,,ANTADINE 100mg Comp.Pell. Bt 20,100mg
ANTAFEN,,ANTAFEN 100mg Comp.Pell. Bt 15,100mg
ANTAGONINE,,ANTAGONINE 50 50mg/2ml Sol.Inj. Bt 5/2ml,50mg
ANTILIP,,ANTILIP 200mg Gél. Bt 30,200mg
ANTIOMAL,,ANTIOMAL 250 250mg Comp.Pell. Bt 30,250mg
ANTIOMAL,,ANTIOMAL 250 250mg Comp.Pell. Bt 60,250mg
ANTIOMAL,,ANTIOMAL 500 500mg Comp.Pell. Bt 30,500mg
ANTIOMAL,,ANTIOMAL 500 500mg Comp.Pell. Bt 60,500mg
ANTIOMAL,,ANTIOMAL 750mg Comp.Pell. Bt 30,750mg
ANTIOMAL,,ANTIOMAL 750mg Comp.Pell. Bt 60,750mg
ANTISPASM,,ANTISPASM 80mg Comp. Orodisp. Bt 30,80mg
ANTISPASM,,ANTISPASM 80mg Comp.Orodisper. Bt 10,80mg
ANTISPASM,,ANTISPASM 80mg Comp.Orodisper. Bt 20,80mg
ANTIVIR,,ANTIVIR 200mg Comp. Fl 30,200mg
ANTIVIR,,ANTIVIR 200mg/5ml Susp.Buv. Fl 125ml,200mg
ANTIVIR,,ANTIVIR 5% Crème Derm. Tb 5gr,5g
ANTIVIR,,ANTIVIR 800mg/10ml Susp.Buv. Fl 125ml,800mg
ANXETIN,,ANXETIN 20mg Gél. Bt 30,20mg
ANXIOMYL,,ANXIOMYL 6mg Comp.Séc. Tb 30,6mg
APHRODIS,,APHRODIS 10mg Comp.Pell. Bt 4,10mg
APHRODIS,,APHRODIS 20 20mg Comp.Pell.Séc. Bt 8,20mg
APHRODIS,,APHRODIS 20mg Comp.Pell. Bt 4,20mg
APIDRA,F,APIDRA SOLOSTAR 100 UI/ml Sol.Inj. Bt 5 Stylos Pré-remplis/3ml (F),100 UI
APO-NITROFURANTOINE,,APO-NITROFURANTOINE Comp 50mg Bt 100,50mg
APOKINON,1%,APOKINON 30mg/3ml (1%) Sol.Inj. Bt 5 Stylos Pré-remplis/3ml,30mg
APPELOM,,APPELOM 10mg Comp.Pell. Bt 30,10mg
APPELOM,,APPELOM 20mg Comp.Pell. Bt 30,20mg
APRANAX,,APRANAX 275mg Comp.Enr. Bt 30,275mg
APRANAX,,APRANAX 275mg Comp.Pell. Bt 10,275mg
APRANAX,,APRANAX 500mg Suppo. Bt 12,500mg
APRANAX,,APRANAX 550mg Comp.Enr.Séc. Bt 16,550mg
APRANAX,,APRANAX 550mg Comp.Enr.Séc. Bt 8,550mg
APROFORT,,APROFORT 150mg/5mg Comp.Pell. Bt 30,150mg
APROFORT,,APROFORT 150mg/5mg Comp.Pell. Bt 90,150mg
APROFORT,,APROFORT 300mg/10mg Comp.Pell. Bt 30,300mg
APROFORT,,APROFORT 300mg/10mg Comp.Pell. Bt 90,300mg
