"option_type","value","label","css_class","source_url","scraped_at_utc"
"laboratory","1019","GRIMBERG","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7224","GRINDEKS","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0082","GRUNENTHAL GMBH","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1074","GUERBET","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1006","HRA PHARMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0931","IBN AL BAYTAR","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7265","IBSA INSTITUT BIOCHIMIQUE SA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","2966","INDUSTRIE PHARMACEUTIQUE SAID (IPS)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7246","INFOMED PHARMA","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1080","INNOTECH-INTERNATIONAL","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7569","IPSEN CONSUMER HEALTH CARE","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","2013","IPSEN PHARMA (EX-BEAUFOUR)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1862","JAZZ PHARMACEUTICALS FRANCE SAS (EX EUSA PHARMA)","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","2751","JOHNSON AND JOHNSON MIDDLE EAST FZ-LLC","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1083","JOHNSON AND JOHNSON MIDDLE EAST FZ-LLZ","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","0184","JULPHAR","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7474","KARO PHARMA AB","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7054","KEDRION","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7206","KELA PHARMA BELGIQUE","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","1880","LABORATOIRE FRANCAIS DU FRACTIONNEMENT & BIOTECHNOLOGIES","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7492","LABORATOIRE X.O","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7392","Laboratoires Bailleul International","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7342","LABORATOIRES ETHYPHARM","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
"laboratory","7358","LABORATOIRES RUBIO S.A.","","http://www.phct.com.tn/index.php/catalogue/medicament-humain/form/25/","2026-06-17T13:31:00Z"
