source,target,weight,severity,shared_drugs
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Partial Opioid Agonist,4,CONTRAINDICATED,"buprenorphine, efavirenz, etravirine, nevirapine"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Protease Inhibitor,4,CONTRAINDICATED,"darunavir, efavirenz, etravirine, nevirapine"
Azole Antifungal,Dietary Cholesterol Absorption Inhibitor,4,CONTRAINDICATED,"itraconazole, ketoconazole, posaconazole, voriconazole"
Nonsteroidal Anti-Inflammatory Drug,Prostaglandin E1 Analog,4,MAJOR,"aspirin, diflunisal, ibu, ibuprofen"
Azole Antifungal,Vitamin D2 Analog,4,MODERATE,"itraconazole, ketoconazole, posaconazole, voriconazole"
Anti-Epileptic Agent,Progestin,4,MODERATE,"felbamate, lamotrigine, oxcarbazepine, phenytoin"
Angiotensin 2 Receptor Blocker,Potassium Binder,4,MODERATE,"amlodipine, irbesartan, telmisartan, valsartan"
Corticosteroid,Protease Inhibitor,4,CONTRAINDICATED,"budesonide, dexamethasone, methylprednisolone, prednisone"
Benzodiazepine,Protease Inhibitor,4,CONTRAINDICATED,"clonazepam, diazepam, estazolam, triazolam"
Phosphodiesterase 5 Inhibitor,Protease Inhibitor,4,CONTRAINDICATED,"adcirca, avanafil, sildenafil, tadalafil"
Azole Antifungal,Progestin Antagonist,4,CONTRAINDICATED,"itraconazole, ketoconazole, posaconazole, voriconazole"
Azole Antifungal,Orexin Receptor Antagonist,4,MAJOR,"fluconazole, itraconazole, ketoconazole, posaconazole"
Azole Antifungal,Cytomegalovirus Dna Terminase Complex Inhibitor,4,CONTRAINDICATED,"fluconazole, itraconazole, posaconazole, voriconazole"
Barbiturate,Nonsteroidal Anti-Inflammatory Drug,3,CONTRAINDICATED,"and caffeine, and codeine phosphate, caffeine"
Benzodiazepine,Nonsteroidal Anti-Inflammatory Drug,3,CONTRAINDICATED,"diazepam, ibu, onfi"
Nonsteroidal Anti-Inflammatory Drug,Proton Pump Inhibitor,3,CONTRAINDICATED,"esomeprazole, naproxen, omeprazole"
Loop Diuretic,Nonsteroidal Anti-Inflammatory Drug,3,CONTRAINDICATED,"celecoxib, furosemide, indomethacin"
Amide Local Anesthetic,Nonsteroidal Anti-Inflammatory Drug,3,CONTRAINDICATED,"bupivacaine, ibu, lidocaine"
Mood Stabilizer,Nonsteroidal Anti-Inflammatory Drug,3,CONTRAINDICATED,"carbamazepine, ibu, ibuprofen"
Factor Xa Inhibitor,Nonsteroidal Anti-Inflammatory Drug,3,CONTRAINDICATED,"apixaban, aspirin, rivaroxaban"
Corticosteroid,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,3,CONTRAINDICATED,"dexamethasone, efavirenz, nevirapine"
Calcineurin Inhibitor Immunosuppressant,Corticosteroid,3,CONTRAINDICATED,"cyclosporine, methylprednisolone, prednisone"
Benzodiazepine,Proton Pump Inhibitor,3,CONTRAINDICATED,"diazepam, omeprazole, onfi"
Benzodiazepine,Macrolide,3,CONTRAINDICATED,"alprazolam, erythromycin, triazolam"
Benzodiazepine,Methylxanthine,3,CONTRAINDICATED,"diazepam, lorazepam, theophylline"
Muscle Relaxant,Thiazide Diuretic,3,MAJOR,"500 mg, soma, usp"
Atypical Antipsychotic,Histamine-2 Receptor Antagonist,3,CONTRAINDICATED,"cimetidine, famotidine, ranitidine"
Atypical Antipsychotic,Cytochrome P450 3A Inhibitor,3,CONTRAINDICATED,"quetiapine, risperidone, ritonavir"
Atypical Antipsychotic,Central Nervous System Stimulant,3,CONTRAINDICATED,"amphetamine, methylphenidate, risperidone"
Azole Antifungal,Histamine-2 Receptor Antagonist,3,CONTRAINDICATED,"cimetidine, itraconazole, ketoconazole"
Azole Antifungal,Retinoid,3,CONTRAINDICATED,"itraconazole, ketoconazole, tretinoin"
Azole Antifungal,Melatonin Receptor Agonist,3,CONTRAINDICATED,"fluconazole, ketoconazole, ramelteon"
Azole Antifungal,Cardiac Glycoside,3,CONTRAINDICATED,"digoxin, itraconazole, ketoconazole"
Azole Antifungal,Macrolide Antimicrobial,3,CONTRAINDICATED,"clarithromycin, fluconazole, itraconazole"
Anthelmintic,Azole Antifungal,3,CONTRAINDICATED,"itraconazole, ketoconazole, praziquantel"
Azole Antifungal,Substance P/Neurokinin-1 Receptor Antagonist,3,CONTRAINDICATED,"aprepitant, itraconazole, ketoconazole"
Azole Antifungal,Progesterone,3,CONTRAINDICATED,"itraconazole, ketoconazole, progesterone"
Azole Antifungal,Janus Kinase Inhibitor,3,CONTRAINDICATED,"fluconazole, ketoconazole, tofacitinib"
Anti-Epileptic Agent,Muscle Relaxant,3,MAJOR,"500 mg, soma, usp"
Anti-Epileptic Agent,Histamine-2 Receptor Antagonist,3,MAJOR,"cimetidine, phenytoin, ranitidine"
Anti-Epileptic Agent,Nucleoside Metabolic Inhibitor,3,MAJOR,"capecitabine, fluorouracil, phenytoin"
Anti-Epileptic Agent,Central Nervous System Stimulant,3,CONTRAINDICATED,"acetaminophen, methylphenidate, phenytoin"
Anti-Epileptic Agent,Factor Xa Inhibitor,3,MAJOR,"apixaban, phenytoin, rivaroxaban"
Anti-Epileptic Agent,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,3,CONTRAINDICATED,"oxcarbazepine, phenytoin, zidovudine"
Anti-Epileptic Agent,Platinum-Based Drug,3,MAJOR,"carboplatin, cisplatin, phenytoin"
Anti-Epileptic Agent,Carbonic Anhydrase Inhibitor,3,CONTRAINDICATED,"acetazolamide, dichlorphenamide, phenytoin"
Anti-Epileptic Agent,Calcineurin Inhibitor Immunosuppressant,3,CONTRAINDICATED,"cyclosporine, oxcarbazepine, phenytoin"
Anti-Epileptic Agent,Penem Antibacterial,3,MAJOR,"meropenem, valproic, valproic acid"
Muscle Relaxant,Opioid Agonist,3,MAJOR,"fentanyl, metaxalone, usp"
Peroxisome Proliferator Receptor Alpha Agonist,Sulfonylurea,3,CONTRAINDICATED,"gemfibrozil, glyburide, pioglitazone"
Fluoroquinolone Antibacterial,Sulfonylurea,3,CONTRAINDICATED,"ciprofloxacin, glimepiride, glyburide"
Rifamycin Antibacterial,Sulfonylurea,3,CONTRAINDICATED,"glipizide, glyburide, rifampin"
Folate Analog Metabolic Inhibitor,Proton Pump Inhibitor,3,CONTRAINDICATED,"esomeprazole, methotrexate, omeprazole"
Dietary Cholesterol Absorption Inhibitor,Hmg-Coa Reductase Inhibitor,3,CONTRAINDICATED,"ezetimibe, ezetimibe and simvastatin, simvastatin"
Alkaloid,Hmg-Coa Reductase Inhibitor,3,CONTRAINDICATED,"colchicine, lovastatin, simvastatin"
Hmg-Coa Reductase Inhibitor,Macrolide Antimicrobial,3,CONTRAINDICATED,"clarithromycin, lovastatin, simvastatin"
Anti-Anginal,Hmg-Coa Reductase Inhibitor,3,CONTRAINDICATED,"lovastatin, ranolazine, simvastatin"
Hmg-Coa Reductase Inhibitor,Macrolide,3,CONTRAINDICATED,"erythromycin, lovastatin, simvastatin"
Hmg-Coa Reductase Inhibitor,Pyrimidine Synthesis Inhibitor,3,CONTRAINDICATED,"rosuvastatin, simvastatin, teriflunomide"
Dihydropyridine Calcium Channel Blocker,Histamine-2 Receptor Antagonist,3,MAJOR,"cimetidine, nifedipine, ranitidine"
Calcineurin Inhibitor Immunosuppressant,Histamine-2 Receptor Antagonist,3,CONTRAINDICATED,"cimetidine, cyclosporine, ranitidine"
Muscle Relaxant,Nitroimidazole Antimicrobial,3,CONTRAINDICATED,"500 mg, soma, usp"
Glinide,Peroxisome Proliferator Receptor Alpha Agonist,3,CONTRAINDICATED,"gemfibrozil, lopid, repaglinide"
Peroxisome Proliferator Receptor Alpha Agonist,Prostacyclin Receptor Agonist,3,CONTRAINDICATED,"gemfibrozil, lopid, selexipag"
Nonsteroidal Anti-Inflammatory Drug,Xanthine Oxidase Inhibitor,3,CONTRAINDICATED,"ibu, indomethacin, naproxen"
Nucleoside Metabolic Inhibitor,Xanthine Oxidase Inhibitor,3,CONTRAINDICATED,"allopurinol, capecitabine, fluorouracil"
Beta-Adrenergic Blocker,Nonsteroidal Anti-Inflammatory Drug,3,CONTRAINDICATED,"aspirin, ibu, indomethacin"
Cytochrome P450 3A Inhibitor,Estrogen,3,CONTRAINDICATED,"conjugated, estradiol, ritonavir"
Estrogen,Substance P/Neurokinin-1 Receptor Antagonist,3,CONTRAINDICATED,"aprepitant, estradiol, levonorgestrel and ethinyl estradiol"
Estrogen,Rifamycin Antimycobacterial,3,CONTRAINDICATED,"conjugated, estradiol, rifabutin"
Estrogen,Protease Inhibitor,3,CONTRAINDICATED,"darunavir, estradiol, estrogens"
Histamine-2 Receptor Antagonist,Phosphodiesterase 5 Inhibitor,3,CONTRAINDICATED,"cimetidine, nizatidine, ranitidine"
Macrolide Antimicrobial,Phosphodiesterase 5 Inhibitor,3,CONTRAINDICATED,"clarithromycin, sildenafil, tadalafil"
Dihydropyridine Calcium Channel Blocker,Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,3,CONTRAINDICATED,"etravirine, felodipine, nifedipine"
Cytochrome P450 3A Inhibitor,Dihydropyridine Calcium Channel Blocker,3,CONTRAINDICATED,"felodipine, nifedipine, ritonavir"
Calcineurin Inhibitor Immunosuppressant,Dihydropyridine Calcium Channel Blocker,3,CONTRAINDICATED,"cyclosporine, nifedipine, tacrolimus"
Alpha-Glucosidase Inhibitor,Dihydropyridine Calcium Channel Blocker,3,MAJOR,"acarbose, miglitol, nifedipine"
Hmg-Coa Reductase Inhibitor,Kinase Inhibitor,3,CONTRAINDICATED,"lovastatin, rosuvastatin, simvastatin"
Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor,Kinase Inhibitor,3,CONTRAINDICATED,"efavirenz, etravirine, nevirapine"
Calcineurin Inhibitor Immunosuppressant,Kinase Inhibitor,3,CONTRAINDICATED,"cyclosporine, neoral, tacrolimus"
Kinase Inhibitor,Rifamycin Antimycobacterial,3,CONTRAINDICATED,"erlotinib, nilotinib, rifabutin"
Factor Xa Inhibitor,Mood Stabilizer,3,CONTRAINDICATED,"apixaban, carbamazepine, rivaroxaban"
Calcineurin Inhibitor Immunosuppressant,Mood Stabilizer,3,CONTRAINDICATED,"carbamazepine, cyclosporine, tacrolimus"
Androgen,Calcineurin Inhibitor Immunosuppressant,3,CONTRAINDICATED,"1%, danazol, tacrolimus"
Cytochrome P450 3A Inhibitor,Factor Xa Inhibitor,3,CONTRAINDICATED,"apixaban, ritonavir, rivaroxaban"
Aromatic Amino Acid Decarboxylation Inhibitor,Catechol-O-Methyltransferase Inhibitor,3,CONTRAINDICATED,"carbidopa, entacapone, levodopa"
